Regione,Citta,08-03,09-03,10-03,11-03,12-03,13-03,14-03,15-03,16-03,17-03,18-03,19-03,20-03,21-03,22-03,23-03,24-03,25-03,26-03,27-03,28-03,29-03,30-03,31-03
TOSCANA,SIENA,24,29,33,37,41,41,58,60,66,73,77,78,128,133,144,160,176,193,216,216,235,273,286,301
TOSCANA,MASSA CARRARA,21,28,37,40,40,65,88,108,117,143,176,200,232,256,281,289,314,330,334,334,470,493,543,561
TOSCANA,AREZZO,9,12,13,14,14,16,27,41,43,71,142,113,124,136,154,201,211,229,249,249,272,284,310,332
TOSCANA,PISA,17,20,31,34,34,51,62,71,78,101,124,146,180,211,234,266,285,317,350,350,398,432,446,471
TOSCANA,LIVORNO,10,10,14,16,16,27,40,50,53,59,62,62,117,120,130,140,162,179,204,204,220,236,271,280
TOSCANA,GROSSETO,4,6,10,12,16,16,31,38,50,60,68,89,97,106,120,128,140,147,174,174,234,245,251,257
TOSCANA,PRATO,3,5,7,21,25,26,33,42,45,53,59,70,94,111,129,137,159,178,189,189,217,221,248,258
CAMPANIA,NAPOLI,45,55,61,96,109,140,171,188,219,258,258,358,416,463,504,543,588,626,665,734,827,898,991,1053
CAMPANIA,SALERNO,15,17,17,17,18,20,31,49,57,65,65,92,115,126,157,179,182,220,244,244,307,323,338,341
CAMPANIA,CASERTA,28,32,34,26,29,38,41,45,60,65,65,94,96,106,116,124,152,165,177,179,186,197,206,221
CAMPANIA,AVELLINO,3,3,3,7,12,14,19,37,49,56,56,88,97,124,132,145,155,172,180,182,193,208,220,226
CAMPANIA,BENEVENTO,4,4,4,2,3,3,3,4,4,4,4,8,8,11,13,13,14,14,14,15,21,21,70,76
